                               true    ConfigMap
                               true    Endpoints
                               true    Event
                               true    LimitRange
                               false   Namespace
                               false   Node
                               true    PersistentVolumeClaim
                               false   PersistentVolume
                               true    Pod
                               true    PodTemplate
                               true    ReplicationController
                               true    ResourceQuota
                               true    Secret
                               true    ServiceAccount
                               true    Service
admissionregistration.k8s.io   false   MutatingWebhookConfiguration
admissionregistration.k8s.io   false   ValidatingWebhookConfiguration
apiextensions.k8s.io           false   CustomResourceDefinition
apiregistration.k8s.io         false   APIService
apps                           true    ControllerRevision
apps                           true    DaemonSet
apps                           true    Deployment
apps                           true    ReplicaSet
apps                           true    StatefulSet
autoscaling                    true    HorizontalPodAutoscaler
batch                          true    CronJob
batch                          true    Job
certificates.k8s.io            false   CertificateSigningRequest
cloud.google.com               true    BackendConfig
coordination.k8s.io            true    Lease
discovery.k8s.io               true    EndpointSlice
extensions                     true    Ingress
migration.k8s.io               false   StorageState
migration.k8s.io               false   StorageVersionMigration
networking.gke.io              true    FrontendConfig
networking.gke.io              true    ManagedCertificate
networking.gke.io              true    ServiceNetworkEndpointGroup
networking.k8s.io              false   IngressClass
networking.k8s.io              true    Ingress
networking.k8s.io              true    NetworkPolicy
node.k8s.io                    false   RuntimeClass
nodemanagement.gke.io          true    UpdateInfo
policy                         true    PodDisruptionBudget
policy                         false   PodSecurityPolicy
rbac.authorization.k8s.io      false   ClusterRoleBinding
rbac.authorization.k8s.io      false   ClusterRole
rbac.authorization.k8s.io      true    RoleBinding
rbac.authorization.k8s.io      true    Role
scheduling.k8s.io              false   PriorityClass
snapshot.storage.k8s.io        false   VolumeSnapshotClass
snapshot.storage.k8s.io        false   VolumeSnapshotContent
snapshot.storage.k8s.io        true    VolumeSnapshot
storage.k8s.io                 false   CSIDriver
storage.k8s.io                 false   CSINode
storage.k8s.io                 false   StorageClass
storage.k8s.io                 false   VolumeAttachment
